,Namibia,Australia,Japan,China,Turkey,Italy,Sweden,Denmark,France,Netherlands,United_Kingdom,Mexico,Canada,USA
Namibia,,1.4843156042665202e-06,2.254412269587548e-06,3.642177935734884e-05,4.3042781953519216e-07,7.433430872381957e-08,1.2868809710729584e-07,0.0,3.877575557575098e-08,3.064808628476387e-08,4.673409842317586e-08,7.992208136137321e-08,2.3705702098712393e-09,2.777292327307719e-06
Australia,8.009140780493545e-07,,0.00019233519801924162,7.535128334385432e-05,5.601081696017626e-05,1.5036188188326144e-07,2.844684251845487e-07,0.0,7.958342847424874e-08,5.418446193991404e-09,2.397662440841196e-07,3.991024274761793e-07,4.61075905819956e-07,4.120372744998982e-05
Japan,1.348685122973173e-06,0.001633349458852923,,0.0006685246742122317,0.0005096974861095201,3.8403237399914075e-07,3.073274950654499e-07,1.8270323260364765e-07,3.5101371750450564e-07,1.6272271226330436e-07,8.701685934663069e-07,3.0776774381871175e-06,3.2332884398208077e-06,0.0007428860751670212
China,0.00011339978184450554,0.0001292814169655379,0.00015167771767618353,,0.00044362850907530367,1.0525331731828302e-06,3.2680003607510654e-08,2.5398966534334704e-09,1.0345845701652337e-07,0.0,2.709223096995702e-09,2.5669888844034274e-07,9.363752328991395e-08,2.1243356956430424e-05
Turkey,3.1291526770300353e-07,6.3619162048758e-05,8.023465797618908e-05,0.0002219749453325924,,3.1188237639727394e-06,2.2283359972789646e-07,1.9404810432231716e-07,7.2021309504759485e-06,1.0836892387982808e-08,2.2689743437339003e-07,2.3146924834957028e-07,2.9598262334678044e-07,1.9651349734058322e-05
Italy,7.221772817929168e-07,1.6033520940907687e-06,2.24086615410257e-06,0.0010465600135597288,0.0008025524807172625,,0.0013924663375470669,0.0022856621420527324,0.006051673077778652,0.001036608529145133,0.001001104329785448,2.0115981495193085e-07,4.9453481106785294e-06,4.732674097564366e-06
Sweden,2.9632127623390494e-07,2.068491834556218e-06,2.9300247794008512e-06,6.656222496431315e-07,4.4228067058454835e-07,1.1356724569718858e-06,,0.0,3.3865288712446273e-09,7.958342847424874e-08,3.345551871902567e-05,0.0,7.23023914010728e-08,2.2970825333652305e-06
Denmark,5.567453464326167e-07,1.983320633444416e-06,3.2710482367351854e-06,1.479066484516091e-06,3.4551060808873307e-06,7.869277138111141e-06,6.729032867163074e-07,,1.2367603437785378e-06,1.5737199664673782e-06,1.2699483267167352e-07,0.0,1.744062368690983e-07,4.7587503698729495e-06
France,7.729752148615862e-07,1.8150101485435581e-06,2.5077246291566465e-06,2.2501791084984925e-06,0.00023535545955576706,0.00016715754114664274,1.0826732801369073e-06,3.5638136576542834e-06,,8.296995734549337e-09,7.643395662399123e-07,1.581508982871241e-07,3.298479120592267e-07,2.066290590789909e-06
Netherlands,5.882400649351918e-07,2.3715861685326123e-06,3.5788837111313223e-06,1.3432666767791813e-06,7.098164514128739e-07,5.62841098400857e-07,6.520761341581529e-07,3.200100456882611e-06,4.7580730640987013e-07,,2.6635049572338995e-07,0.0,7.484228805450625e-08,2.276763360137763e-06
United_Kingdom,7.221772817929168e-07,2.0544377397405533e-06,3.9764622006154415e-06,1.6812422581293952e-06,7.673874422240325e-07,1.6309523043914124e-06,0.00012024548063128298,2.9479733824184484e-07,1.4375815058433444e-07,3.115606561545057e-08,,0.0,1.5510302230300392e-07,3.9508939076375445e-06
Mexico,7.71146489271114e-06,2.1654820214286647e-05,3.0795400290663015e-05,1.3406421169039668e-05,3.977139506389691e-06,1.6529647420545024e-06,7.992208136137321e-08,6.778137535796121e-07,2.885322598300422e-07,8.449389533755345e-08,0.0,,1.0168052935911993e-06,8.096191505128886e-05
Canada,6.552086733640542e-06,1.4455398486907691e-05,2.4684747595389213e-05,1.2460563655301044e-05,4.302754257359861e-06,0.00014862103671699813,1.3461452263197396e-07,9.529692243682381e-07,2.1876976508240293e-07,7.992208136137321e-08,1.5256312564957045e-07,8.290222676806848e-07,,0.00029665975979458576
USA,0.0009366647811176309,0.0002323810712481529,0.0008429783224855274,0.0011810702311024683,8.247230692786398e-05,0.0034611401980301146,2.044955458901068e-06,0.0010623552921945445,0.00013644595744554303,2.8126815540122248e-06,3.1110347475688765e-06,0.002209997604788288,0.0029956027097487376,
